year,round,final,team_id,position,games,wins,draws,losses,gf,ga,gd,points,3pwin
1925,1,0,3,1,1,1,0,0,5,1,4,2,3
1925,1,0,5,2,1,1,0,0,5,1,4,2,3
1925,1,0,7,3,1,1,0,0,3,1,2,2,3
1925,1,0,1,4,1,1,0,0,2,1,1,2,3
1925,1,0,6,5,1,1,0,0,1,0,1,2,3
1925,1,0,2,6,1,0,1,0,1,1,0,1,1
1925,1,0,10,7,1,0,1,0,1,1,0,1,1
1925,1,0,4,8,1,0,0,1,1,2,-1,0,0
1925,1,0,8,9,1,0,0,1,0,1,-1,0,0
1925,1,0,9,10,1,0,0,1,1,3,-2,0,0
1925,1,0,11,11,1,0,0,1,1,5,-4,0,0
1925,1,0,12,12,1,0,0,1,1,5,-4,0,0
1925,2,0,1,1,3,3,0,0,8,4,4,6,9
1925,2,0,5,2,2,2,0,0,12,2,10,4,6
1925,2,0,6,3,2,2,0,0,3,1,2,4,6
1925,2,0,3,4,2,1,1,0,7,3,4,3,4
1925,2,0,7,5,1,1,0,0,3,1,2,2,3
1925,2,0,9,6,2,1,0,1,2,3,-1,2,3
1925,2,0,2,7,3,0,2,1,4,6,-2,2,2
1925,2,0,10,8,1,0,1,0,1,1,0,1,1
1925,2,0,4,9,1,0,0,1,1,2,-1,0,0
1925,2,0,8,10,3,0,0,3,3,6,-3,0,0
1925,2,0,11,11,2,0,0,2,1,6,-5,0,0
1925,2,0,12,12,2,0,0,2,2,12,-10,0,0
1925,3,0,5,1,3,3,0,0,15,4,11,6,9
1925,3,0,9,2,4,3,0,1,10,5,5,6,9
1925,3,0,1,3,3,3,0,0,8,4,4,6,9
1925,3,0,3,4,3,2,1,0,8,3,5,5,7
1925,3,0,2,5,4,1,2,1,8,6,2,4,5
1925,3,0,6,6,3,2,0,1,3,5,-2,4,6
1925,3,0,4,7,2,1,0,1,5,4,1,2,3
1925,3,0,7,8,3,1,0,2,5,5,0,2,3
1925,3,0,10,9,2,0,1,1,3,5,-2,1,1
1925,3,0,8,10,3,0,0,3,3,6,-3,0,0
1925,3,0,11,11,3,0,0,3,1,7,-6,0,0
1925,3,0,12,12,3,0,0,3,4,19,-15,0,0
1925,3,0,2,1,6,3,2,1,17,7,10,8,11
1925,3,0,3,2,5,3,2,0,10,4,6,8,11
1925,3,0,1,3,4,3,1,0,9,5,4,7,10
1925,3,0,5,4,4,3,0,1,15,5,10,6,9
1925,3,0,9,5,4,3,0,1,10,5,5,6,9
1925,3,0,6,6,4,2,1,1,4,6,-2,5,7
1925,3,0,4,7,3,1,1,1,6,5,1,3,4
1925,3,0,7,8,4,1,0,3,7,8,-1,2,3
1925,3,0,8,9,4,1,0,3,6,8,-2,2,3
