team_id,team_name
1,GAIS
2,IFK Göteborg
3,Örgryte IS
4,Helsingborgs IF
5,AIK
6,Landskrona BoIS
7,IK Sleipner
8,IFK Norrköping
9,IFK Eskilstuna
10,IFK Malmö FK
11,Västerås IK
12,Hammarby IF
13,IFK Uddevalla
14,IK City
15,IF Elfsborg
16,Westermalms IF FK
17,Djurgårdens IF
18,Stattena IF
19,Sandvikens IF
20,Redbergslid IK
21,Malmö FF
22,IS Halmia
23,Halmstads BK
24,Gefle IF FF
25,Gårda BK
26,IK Brage
27,Degerfors IF
28,Hallstahammar SK
29,Reymersholms IK
30,Ludvika FFI
31,Jönköpings Södra IF
32,Örebro SK
33,Billingsfors IK
34,Kalmar FF
35,Råå IF
36,Åtvidabergs FF
37,Sandvikens AIK FK
38,Västerås SK FK
39,Norrby IF
40,Motala AIF FK
41,Högadals IS
42,GIF Sundsvall
43,IFK Holmsund
44,Östers IF
45,IK Sirius
46,IFK Luleå
47,IF Saab
48,Brynäs IF FK
49,IFK Sundsvall
50,BK Derby
51,Mjällby AIF
52,BK Häcken
53,Trelleborgs FF
54,Västra Frölunda IF
55,Umeå FC
56,IK Oddevold
57,Ljungskile SK
58,Enköpings SK FK
59,Assyriska FF
60,IF Brommapojkarna
61,Syrianska FC
62,Falkenbergs FF
63,Östersunds FK
64,AFC Eskilstuna
65,Dalkurd FF
66,Varbergs BoIS
67,IFK Värnamo
